id,type_text,text,scoring_play,score_value,season,longitude,latitude,game_date
26081000400009,Three Point Jump Shot,Diana Taurasi made Three Point Jumper. Assisted by Penny Taylor.,TRUE,3,2006,-41.75,22,2006-08-10
26081000400026,Three Point Jump Shot,Diana Taurasi made 22 ft Three Point Jumper. Assisted by Cappie Pondexter.,TRUE,3,2006,-25.75,-15,2006-08-10
26081000400152,Three Point Jump Shot,Diana Taurasi made 24 ft Three Point Jumper.,TRUE,3,2006,-22.75,-15,2006-08-10
26081000400202,Three Point Jump Shot,Diana Taurasi made 22 ft Three Point Jumper. Assisted by Kelly Miller.,TRUE,3,2006,-22.75,-11,2006-08-10
26081000400253,Three Point Jump Shot,Diana Taurasi made 24 ft Three Point Jumper. Assisted by Penny Taylor.,TRUE,3,2006,-22.75,-14,2006-08-10
26081000400467,Three Point Jump Shot,Diana Taurasi made 26 ft Three Point Jumper.,TRUE,3,2006,-17.75,-11,2006-08-10
26081000400485,Three Point Jump Shot,Diana Taurasi made 22 ft Three Point Jumper.,TRUE,3,2006,-22.75,11,2006-08-10
26081000400511,Three Point Jump Shot,Diana Taurasi made 23 ft Three Point Jumper. Assisted by Penny Taylor.,TRUE,3,2006,-26.75,-17,2006-08-10
